organization_user_name,organization_namespace_url,organization_website,location_country,form_of_organization
protontypes,https://github.com/protontypes,https://protontypes.eu,Germany,community
NASA-LIS,https://github.com/NASA-LIS,https://lis.gsfc.nasa.gov/,USA,government agency
openeemeter,https://github.com/openeemeter,https://lfenergy.org/projects/openeemeter/,USA,for-profit
ie3-institute,https://github.com/ie3-institute,https://ie3.etit.tu-dortmund.de/,Germany,academia
codeforboston,https://github.com/codeforboston,https://www.codeforboston.org,USA,non-profit
HabitatMap,https://github.com/HabitatMap,http://www.habitatmap.org,USA,non-profit
pangeo-data,https://github.com/pangeo-data,http://pangeo.io,Global,community
powsybl,https://github.com/powsybl,https://www.powsybl.org,Global,collaboration
open-sdg,https://github.com/open-sdg,https://open-sdg.org/,Global,government agency
CliMA,https://github.com/CliMA,https://clima.caltech.edu,USA,academia
e-mission,https://github.com/e-mission,,,
softwareunderground,https://github.com/softwareunderground,https://softwareunderground.org,Canada,non-profit
EnergieID,https://github.com/EnergieID,http://www.energieid.be,Belgium,collaboration
OpenIPSL,https://github.com/OpenIPSL,http://openipsl.org,USA,for-profit
rte-france,https://github.com/rte-france,http://www.rte-france.com/,France,government agency
sogno-platform,https://github.com/sogno-platform,https://sogno.energy/,Global,community
DrylandEcology,https://github.com/DrylandEcology,,USA,community
mom-ocean,https://github.com/mom-ocean,https://mom-ocean.github.io,Global,community
ImperialCollegeLondon,https://github.com/ImperialCollegeLondon,https://www.imperial.ac.uk/,UK,academia
roocs,https://github.com/roocs,https://www.ukri.org/councils/stfc/,UK,academia
GreenDelta,https://github.com/GreenDelta,https://www.greendelta.com/,Germany,for-profit
ncss-tech,https://github.com/ncss-tech,http://ncss-tech.github.io/AQP/,USA,collaboration
transition-zero,https://github.com/transition-zero,https://www.transitionzero.org/,,
NREL,https://github.com/NREL,http://www.nrel.gov,USA,government agency
team-ocean,https://github.com/team-ocean,https://www.nbi.ku.dk/english/research/pice/oceanography/,Denmark,academia
ladybug-tools,https://github.com/ladybug-tools,http://ladybug.tools,Global,for-profit
oemof,https://github.com/oemof,https://oemof.org,Germany,non-profit
Ecohackerfarm,https://github.com/Ecohackerfarm,https://wiki.ecohackerfarm.org,Germany,community
