project_name,oneliner,git_namespace,git_url,platform,topics,rubric,last_update,stargazers_count,number_of_dependents,stars_last_year,project_active_checkbox,dominating_language,organization,organization_user_name,languages,homepage,created,license,total_commits_last_year,total_number_of_commits,last_issue_closed,open_issues,closed_pullrequests,closed_issues,open_pullrequests,reviews_per_pr,community_development_distribution_score,last_released_date,last_release_tag_name,good_first_issue,contributors,accepts_donations,donation_platforms,code_of_conduct,contribution_guide,organization_avatar,dependents_repos
electricitymap-contrib,A real-time visualization of the CO2 emissions from electricity consumption.,tmrowco,https://github.com/electricitymap/electricitymap-contrib.git,github,"sustainability,d3,data-visualization,climate-change",Datasets on Energy Systems,2022-02-20 13:14,2223,0,429,checked,Python,electricityMap,electricitymap,"Python,JavaScript,HTML,SCSS,EJS,CSS,Shell,Dockerfile",https://app.electricitymap.org,2016-05-21 16:36,MIT,324,3429,2022-02-18 15:28,184,1909,3539,14,1.60000000,0.45004850,2022-02-09 09:10,v0.238.0,4,237,,,,,https://avatars.githubusercontent.com/u/24733017?v=4,
makani,"A project to develop a commercial-scale airborne wind turbine, culminating in a flight test of the Makani M600 off the coast of Norway.",google,https://github.com/google/makani.git,github,"makani,wind,renewable-energy,energy-kites,wind-power",Wind Power,2022-02-07 17:48,1102,0,90,,C++,google,Google,"C++,C,Python,Roff,Java,Jupyter Notebook,MATLAB,Perl,Starlark,Shell,RPC,JavaScript,Assembly,HTML,Objective-C,XC,XS,CSS,SWIG,Makefile,Vim script,Dockerfile,Emacs Lisp",,2020-05-18 18:13,Apache-2.0,0,44,2020-09-10 15:27,5,9,9,5,1.44444444,0.35483871,,,0,3,,,,checked,https://avatars.githubusercontent.com/u/1342004?v=4,
Emoncms,"A powerful open source web application for processing, logging and visualizing energy, temperature and other environmental data.",emoncms,https://github.com/emoncms/emoncms.git,github,"emoncms,php,openenergymonitor,energy-monitor,dashboards,sustainability",Energy Monitoring and Control,2022-02-15 21:50,1036,0,76,checked,PHP,emoncms,Emoncms,"PHP,JavaScript,CSS,HTML,Shell,Python,Makefile",https://emoncms.org,2012-10-15 20:28,CUSTOM,456,4758,2022-02-04 13:07,131,1020,1651,25,0.00000000,0.79103098,2021-09-22 11:59,10.8.5,0,110,,,,,https://avatars.githubusercontent.com/u/2532311?v=4,
MetPy,"A collection of tools in Python for reading, visualizing and performing calculations with weather data.",Unidata,https://github.com/Unidata/MetPy.git,github,"python,atmospheric-science,meteorology,weather,plotting,scientific-computations,hodograph,skew-t,weather-data,hacktoberfest",Atmosphere,2022-02-18 07:08,850,176,146,checked,Python,Unidata,Unidata,"Python,Dockerfile,Ruby,Makefile",https://unidata.github.io/MetPy,2011-02-25 04:20,BSD-3-Clause,642,4473,2022-02-17 01:17,291,1297,1975,30,1.60000000,0.36121293,2022-01-23 17:45,v1.2.0,7,61,,,checked,checked,https://avatars.githubusercontent.com/u/613345?v=4,"Olympic-Tibidi/Tides,moroots/DATAS,djzurawski/weather-products,airavata-courses/terra,wxmann/sounding-api,EarthObservationSimulator/instrupy,yexcai/MBAI,glidar-project/glidar-model,MODAP/datascience,sd19surf/docker_metpy,NOAA-GSL/hrrr-smoke-vis,climate-enigma/dparcel,crouchr/yoctopuce-sensor,opencdms/surface-demo,briis/pyweatherflowudp,illacceptanything/illacceptanything,jglauner74/glauner-weather,NOAA-GSL/ml4tc,bnb32/gcm_aws,Quinticx/PyNEXRAD,rpmanser/large_ic_ensembles,Skyehawk/BackBuilding_QuasiStationary_Tstorm_ID,berkeley-dsep-infra/datahub,opencdms/surface,NCAR/rechunk_retro_nwm_v21,AlFontal/covid-climate-signatures,blaylockbk/Herbie,kwodzicki/tamu_met_products,cryotools/cosipy,schism-dev/pyschism,nforceroh/METAR,zmlabe/predictGMSTrate,pyinstaller/pyinstaller-hooks-contrib,LuisSevillano/goes16-processing,nmcdev/metdig,jreniel/pyschism-sciclone-tests,vidurmithal/covid-fire-aq,ramanakumars/GOESplot,RADutchie/pygeochemtools,rmcd-mscb/grd2shp_xagg,ahsouri/GOESVisualizer,nbren12/uwnet,FENGHUODEXIAOYAO/dona,suvodip1212/bemuda,NUsav77/Open-Ended-Capstone-Step-3,NOAA-GSL/ml4convection,kwodzicki/dcotssUtils,physicsgoddess1972/Precipitable-Water-Model,NCAR/geocat-comp,Open-MSS/data-retrieval,DWesl/weather-data-downloader,J-Wall/camfi,crouchr/display-generator,thunderhoser/ml4tc,genericnme/mettool,asselapathirana/orographic_rainfall,thunderhoser/ml4convection,Marilyth/mss-data-retrieval,thunderhoser/ml4rt,NeiliNeji/Covid-19,sodoesaburningbus/pysonde,ai2cm/fv3net,adair-kovac/TetheredBalloon-7710,hkershaw-brown/dartthedocs,Unidata/siphon,crouchr/webcamd,C4IROcean/python_sdk_example_notebooks,crouchr/synopsisd,mhaberler/radiosonde-datacollector,crouchr/metfuncs,EFisher828/CarolinaWxGroupFrequent,zmlabe/ModelBiasesANN,mgiardina/herokudemo,RomiNahir/bootstrap-demo,EFisher828/ROABVerification,observingClouds/trade-wind-course_2021,genericnme/genericnme.github.io,mgiardina/demoromina,zmlabe/DataVizStudies,zmlabe/ExtremeEvents,Daviology38/AMS_Python_2021_Project_Coe,brown-ccv/jupyterhub-docker-images,fatekong/GE-STDGN,hkershaw-brown/DART-autocompile,hkershaw-brown/dart-jekyll-test,hkershaw-brown/feature-preprocess,rpmanser/AMS101-Dask-in-MetPy,Divyaakula28/TvChannelSchedule,cuspaceflight/CamPyRoS,mhaberler/jumpvis,mhaberler/dwd-trajectory,hkershaw-brown/rttov-test,matzegoebel/run_WRF,jmccreight/DART,akrherz/pyWWA,zmlabe/InternalSignal,berland/pyrotun,ovaisnazir/Master-Thesis,rahulsingh2310/django-react,vchaparro/wind-power-forecasting,cemac/jupyterhub_provisioning,110621013/weatheric2,shawnwang-tech/PM2.5-GNN,YnnuSL/PM2.5-GNN,NateWeiler/Resources,pmlmodelling/ncplot,pmlmodelling/nctoolkit,C4IROcean/odp-sdk-python,guidocioni/icon_forecasts,crazymidnight/weather,oucass/Profiles,marciohssilveira/met_charts,tmiyachi/vue-emagram,zjfstart/kb,thunderhoser/cira_ml_short_course,akrherz/iem-web-services,srmullens/jet_stream_bot,marciohssilveira/gfs_soundings,jthielen/OpenMosaic,sakitam-fdd/wind-layer,antarcticrainforest/esm_analysis,nmcdev/nmc_met_graphics,areed145/kk6gpv-metpy,ac0015/wrf-ens-tools,nhm-usgs/gfsetl,LSaffin/scripts,andrewbrown31/SCW-analysis,Geet-George/JOANNE,DishaTalreja3/Science-Gateway-for-Weather-Forecasting,simonmoulds/era5toolbox,nmcdev/nmc_met_base,fvalka/nwp-sounding,Denizhan-Yigitbas/PotHoles_DSCI400,fvalka/icon-skewt-plot,airavata-courses/Orenda,EUREC4A-UK/twin-otter,DS4Earth/sp2020,jgodwinWX/sfcplots_v2,lsterzinger/ramslibs,exoclim/aeolus,liyuan3970/study_demo,nmcdev/nmc_met_map,areed145/kk6gpv-workers,observingClouds/eurec4a_snd,weiming9115/MSEplots,apottr/nexrad-something,apottr/nexrad-process,frontogenesis/flask,yotf/meteoDash,zmlabe/AntSeaIceVari,metwork-framework/mfextaddon_scientific,zmlabe/StratoVari,kuchaale/X-regression,JoDeMiro/Eniko,jaws/jaws,kms22134/tamu_met_products,zmlabe/AMIP_Simu,launda/learn_flask,brianmapes/MSEplot,CyanideCN/PyCINRAD,kwodzicki/WxStationPlots,thunderhoser/GewitterGefahr,hawson/Nexfetch,meteorolog90/PROGRAM,zmlabe/ThicknessSensitivity,zmlabe/SeaIceQBO,weiming9115/Working-Space,zmlabe/ClimatePython,zmlabe/IceVarFigs,Unidata/drilsdown,NORCatUofC/rain,dennissergeev/arke,jrleeman/skewtweb,akrherz/iem,akrherz/pyIEM,ASRCsoft/wxprofilers"
OpenFarm,A free and open database and web application for farming and gardening knowledge.,openfarmcc,https://github.com/openfarmcc/OpenFarm.git,github,"gardening,farming,plants,open-source,rails",Agriculture and Nutrition,2022-02-20 14:21,848,0,87,checked,Ruby,openfarmcc,OpenFarm,"Ruby,HTML,SCSS,JavaScript,Shell,Dockerfile,CSS",https://OpenFarm.cc,2013-10-27 04:46,MIT,3,2696,2021-08-19 16:39,122,818,1252,5,0.30000000,0.58896034,2019-05-20 20:13,may-2019,0,51,,,,,https://avatars.githubusercontent.com/u/10136787?v=4,
WoBike,Public transport and multimodal routing apps could benefit from showing nearby bikes from bikesharing services. So here's a list showing the APIs of a few of these platforms.,ubahnverleih,https://github.com/ubahnverleih/WoBike.git,github,"bike,sharing,api,map,location,documentation,opendata,scooter,bike-share,scooter-sharing",Mobility and Transportation,2022-02-19 23:16,817,0,135,checked,,LBNL-UCB-STI,,,,2017-08-04 15:12,CUSTOM,26,286,2022-01-11 09:19,92,77,143,1,0.00000000,0.70652174,,,0,44,,,,,https://avatars.githubusercontent.com/u/26527414?v=4,
openfoodnetwork,An online marketplace for local food. It enables a network of independent online food stores that connects farmers and food hubs with individuals and local businesses.,openfoodfoundation,https://github.com/openfoodfoundation/openfoodnetwork.git,github,"food,ruby,food-hubs,rails,farmers,sustainable-consumption,nonprofit,hacktoberfest",Agriculture and Nutrition,2022-02-17 20:29,806,0,145,checked,Ruby,openfoodfoundation,Open Food Foundation,"Ruby,CoffeeScript,Haml,SCSS,JavaScript,Shell,HTML,CSS,Dockerfile",https://www.openfoodnetwork.org/become-a-contributor/,2012-10-17 07:56,AGPL-3.0,2964,23560,2022-02-17 13:14,608,4520,8230,42,1.20000000,0.84457478,2022-02-10 14:01,v4.1.18,25,172,,,checked,checked,https://avatars.githubusercontent.com/u/2578987?v=4,
awesome-transit,"Community list of transit APIs, apps, datasets, research, and software.",CUTR-at-USF,https://github.com/CUTR-at-USF/awesome-transit.git,github,"transit,gtfs,awesome-list,bus,datasets,awesome,list,tools,transit-data,gtfs-feed,gtfs-realtime,gtfs-validator,gtfs-files,transit-map,transit-agencies,realtime-data,gtfs-utils,gtfs-libraries,gtfs-converters,gtfs-analysis",Curated Lists,2022-02-18 19:55,795,0,103,checked,,CUTR-at-USF,Center for Urban Transportation Research @ USF,,,2015-08-13 00:38,CUSTOM,49,374,2022-02-16 20:39,14,169,191,3,0.20000000,0.42323651,,,0,65,,,,checked,https://avatars.githubusercontent.com/u/1372220?v=4,
Transportr,The public transport companion that respects your privacy and your freedom.,grote,https://github.com/grote/Transportr.git,github,"public-transportation,android-app,map",Mobility and Transportation,2022-02-19 17:43,776,0,116,checked,Kotlin,vocol,,"Kotlin,Java,Python,Ruby,Shell",https://transportr.app,2013-09-06 10:00,GPL-3.0,19,1257,2021-11-05 17:39,123,165,674,13,2.40000000,0.15845649,2021-11-08 12:52,2.1.4,0,39,,,,checked,https://avatars.githubusercontent.com/u/8235117?v=4,
Farmbot,Humanity's open-source CNC farming machine.,FarmBot,https://github.com/FarmBot/Farmbot-Web-App.git,github,farmbot,Agriculture and Nutrition,2022-02-16 06:46,770,4,87,checked,TypeScript,FarmBot,FarmBot,"TypeScript,Ruby,SCSS,HTML,JavaScript,Shell,CSS,Dockerfile",https://my.farm.bot,2014-03-12 02:38,MIT,238,11049,2022-02-10 18:52,57,1866,2267,0,0.00000000,0.23381909,2022-02-10 18:52,v15.0.0,4,28,,,,checked,https://avatars.githubusercontent.com/u/5784869?v=4,"Jonathanmarsh4/decentralisedbitcoin,NorthStNetworking/NorthStNetworking,TauKaisho/fantastic-bassoon,asifyet/Humananity"
